Obs Index,,Plant,SoilWat,SoilN,General
0,LAI,1,1,1,1
1,SW1,1,1,1,1
2,SW2,,1,,1
3,SW3,,1,,1
4,SW4,,1,,1
5,SW5,,1,,1
6,SW6,,1,,1
7,SW7,,1,,1
8,LeafWt,1,,,1
9,StemWt,1,,,1
10,GrainWt,,,,
11,PodWt,,,,
12,RootWt,,,,
13,LeafN,1,,,1
14,StemN,1,,,1
15,GrainN,,,,
16,PodN,1,,,1
17,RootN,,,,
18,Height,,,,
19,RootDepth,,,,
20,SoilNO3_1,,,1,1
21,SoilNO3_2,,,1,1
22,SoilNO3_3,,,1,1
23,SoilNO3_4,,,1,1
24,SoilNO3_5,,,1,1
25,SoilNO3_6,,,1,1
26,SoilNO3_7,,,1,1
27,SoilNH4_1,,,1,1
28,SoilNH4_2,,,1,1
29,SoilNH4_3,,,1,1
30,SoilNH4_4,,,1,1
31,SoilNH4_5,,,1,1
32,SoilNH4_6,,,1,1
33,SoilNH4_7,,,1,1
